column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
dataset,Dataset identifier (experimental replicate or processing batch label).,Allows users to keep replicate-level provenance and compare conditions across experiments.,User-provided string inserted into each row when running batch quantification.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,"Dataset identifiers serve as critical metadata anchoring all downstream measurements to their experimental provenance. This tracking enables multi-dataset statistical integration, comparative phenotyping across experimental conditions, and identification of batch effects or experimental-specific biases."
image_name,Source image identifier (file stem).,Preserves per-image traceability and enables per-cell/per-image summaries.,Derived from input file path using the filename stem.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,"Individual image identifiers establish complete traceability from raw microscopy data through quantitative analysis, enabling researchers to validate measurements at single-image resolution, detect image-specific artifacts, and link morphological phenotypes to their source microscopy conditions."
mask_name,"Region used as quantification scope (for example cell mask, nucleus, or whole image).",Most outputs are interpreted relative to a biological compartment; mask_name defines that compartment.,Set from user inputs/region configuration; if no mask is supplied infer-subc uses whole-image scope.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,"The mask parameter defines the biological compartment serving as the quantification context—whether measurements are computed within the full cell, the nucleus, the cytoplasm, or the whole imaging field. This scope critically influences organelle distributions and abundances, making mask specification essential for proper biological interpretation of phenotypes."
scale,"Physical voxel size tuple (Z, Y, X) used for scaling geometric features.",Lets users interpret measurements in physical units and compare across imaging sessions.,Read from image metadata when available; otherwise infer-subc uses unit spacing and reports corresponding tuple.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,"Voxel scaling parameters convert pixel-based measurements into physically meaningful units, derived from microscope calibration. These scale factors account for differences in imaging magnification and detector sampling, enabling biologically rigorous cross-instrument and cross-protocol comparisons."
object,"Biological object class represented by the row (organelle, region, or interaction type).",Object-specific quantification is the core of organelle signature analysis.,Assigned from segmentation labels and interaction naming rules (for example mitoXlyso for overlaps).,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,"Object classification categorizes the biological entity under study—whether individual organelle instances (mitochondria, lysosomes), defined cellular compartments (nucleus, cytoplasm), or emergent interaction sites where multiple organelle classes colocalize. This taxonomic organization structures the entire analytical framework."
voxel_count_with_0_org(s),Number of voxels in region where exactly 0 organelle classes overlap.,Quantifies local interaction complexity (contact degree) within biological compartments.,Construct degree image by summing binary organelle masks; count voxels where degree == 0 after region masking.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 0 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
voxel_count_with_1_orgs(s),Number of voxels in region where exactly 1 organelle classes overlap.,Quantifies local interaction complexity (contact degree) within biological compartments.,Construct degree image by summing binary organelle masks; count voxels where degree == 1 after region masking.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 1 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
voxel_count_with_2_orgs(s),Number of voxels in region where exactly 2 organelle classes overlap.,Quantifies local interaction complexity (contact degree) within biological compartments.,Construct degree image by summing binary organelle masks; count voxels where degree == 2 after region masking.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 2 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
voxel_count_with_3_orgs(s),Number of voxels in region where exactly 3 organelle classes overlap.,Quantifies local interaction complexity (contact degree) within biological compartments.,Construct degree image by summing binary organelle masks; count voxels where degree == 3 after region masking.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 3 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
voxel_count_with_4_orgs(s),Number of voxels in region where exactly 4 organelle classes overlap.,Quantifies local interaction complexity (contact degree) within biological compartments.,Construct degree image by summing binary organelle masks; count voxels where degree == 4 after region masking.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 4 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
