column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
dataset,Dataset identifier (experimental replicate or processing batch label).,Allows users to keep replicate-level provenance and compare conditions across experiments.,User-provided string inserted into each row when running batch quantification.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Dataset identifiers serve as critical metadata anchoring all downstream measurements to their experimental provenance. This tracking enables multi-dataset statistical integration, comparative phenotyping across experimental conditions, and identification of batch effects or experimental-specific biases."
image_name,Source image identifier (file stem).,Preserves per-image traceability and enables per-cell/per-image summaries.,Derived from input file path using the filename stem.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Individual image identifiers establish complete traceability from raw microscopy data through quantitative analysis, enabling researchers to validate measurements at single-image resolution, detect image-specific artifacts, and link morphological phenotypes to their source microscopy conditions."
mask_name,"Region used as quantification scope (for example cell mask, nucleus, or whole image).",Most outputs are interpreted relative to a biological compartment; mask_name defines that compartment.,Set from user inputs/region configuration; if no mask is supplied infer-subc uses whole-image scope.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","The mask parameter defines the biological compartment serving as the quantification context—whether measurements are computed within the full cell, the nucleus, the cytoplasm, or the whole imaging field. This scope critically influences organelle distributions and abundances, making mask specification essential for proper biological interpretation of phenotypes."
scale,"Physical voxel size tuple (Z, Y, X) used for scaling geometric features.",Lets users interpret measurements in physical units and compare across imaging sessions.,Read from image metadata when available; otherwise infer-subc uses unit spacing and reports corresponding tuple.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Voxel scaling parameters convert pixel-based measurements into physically meaningful units, derived from microscope calibration. These scale factors account for differences in imaging magnification and detector sampling, enabling biologically rigorous cross-instrument and cross-protocol comparisons."
object,"Biological object class represented by the row (organelle, region, or interaction type).",Object-specific quantification is the core of organelle signature analysis.,Assigned from segmentation labels and interaction naming rules (for example mitoXlyso for overlaps).,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Object classification categorizes the biological entity under study—whether individual organelle instances (mitochondria, lysosomes), defined cellular compartments (nucleus, cytoplasm), or emergent interaction sites where multiple organelle classes colocalize. This taxonomic organization structures the entire analytical framework."
label,Instance label for a segmented object or interaction site.,Supports object-level measurements before summarization.,Generated by connected-component labeling on segmentation/overlap images.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Instance identifiers uniquely track individual segmented objects, enabling object-level phenotyping before aggregation across the image. This granularity is essential for capturing within-image heterogeneity and for linking single objects across multiple measurement dimensions."
centroid-0,Centroid coordinate along Z.,Helps localize organelle or interaction objects within 3D cellular space.,Computed by scikit-image regionprops as the center of mass of labeled voxels.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Centroid coordinates locate individual organelle centers of mass within three-dimensional space, providing positional anchors for spatial distribution analysis and proximity-based interaction detection. These coordinates enable quantification of subcellular localization patterns and support downstream spatial statistics."
centroid-1,Centroid coordinate along Y.,Helps localize organelle or interaction objects within 3D cellular space.,Computed by scikit-image regionprops as the center of mass of labeled voxels.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Centroid coordinates locate individual organelle centers of mass within three-dimensional space, providing positional anchors for spatial distribution analysis and proximity-based interaction detection. These coordinates enable quantification of subcellular localization patterns and support downstream spatial statistics."
centroid-2,Centroid coordinate along X.,Helps localize organelle or interaction objects within 3D cellular space.,Computed by scikit-image regionprops as the center of mass of labeled voxels.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Centroid coordinates locate individual organelle centers of mass within three-dimensional space, providing positional anchors for spatial distribution analysis and proximity-based interaction detection. These coordinates enable quantification of subcellular localization patterns and support downstream spatial statistics."
bbox-0,Bounding-box limit coordinate for the object.,Describes spatial extent and supports derived shape descriptors.,Computed by scikit-image regionprops from min/max object coordinates.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Bounding box coordinates define the minimal axis-aligned rectangular volume containing each segmented organelle, providing fundamental geometric information for shape analysis and efficient volumetric calculations."
bbox-1,Bounding-box limit coordinate for the object.,Describes spatial extent and supports derived shape descriptors.,Computed by scikit-image regionprops from min/max object coordinates.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Bounding box coordinates define the minimal axis-aligned rectangular volume containing each segmented organelle, providing fundamental geometric information for shape analysis and efficient volumetric calculations."
bbox-2,Bounding-box limit coordinate for the object.,Describes spatial extent and supports derived shape descriptors.,Computed by scikit-image regionprops from min/max object coordinates.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Bounding box coordinates define the minimal axis-aligned rectangular volume containing each segmented organelle, providing fundamental geometric information for shape analysis and efficient volumetric calculations."
bbox-3,Bounding-box limit coordinate for the object.,Describes spatial extent and supports derived shape descriptors.,Computed by scikit-image regionprops from min/max object coordinates.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Bounding box coordinates define the minimal axis-aligned rectangular volume containing each segmented organelle, providing fundamental geometric information for shape analysis and efficient volumetric calculations."
bbox-4,Bounding-box limit coordinate for the object.,Describes spatial extent and supports derived shape descriptors.,Computed by scikit-image regionprops from min/max object coordinates.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Bounding box coordinates define the minimal axis-aligned rectangular volume containing each segmented organelle, providing fundamental geometric information for shape analysis and efficient volumetric calculations."
bbox-5,Bounding-box limit coordinate for the object.,Describes spatial extent and supports derived shape descriptors.,Computed by scikit-image regionprops from min/max object coordinates.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Bounding box coordinates define the minimal axis-aligned rectangular volume containing each segmented organelle, providing fundamental geometric information for shape analysis and efficient volumetric calculations."
volume,Object volume (or voxel count if scaling is unitary).,Size is a primary organelle phenotype and central to stress/condition response analysis.,Starts from regionprops area in voxels; converted to physical volume when voxel scale is available.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Organelle volume is a primary phenotypic descriptor, reflecting size-dependent functional capacity and responding dynamically to cellular stress and metabolic state. Volume measurements enable quantification of organelle biogenesis, degradation, and remodeling in response to experimental conditions."
surface_area,Object surface area.,Surface area captures membrane architecture and complements volume in morphology profiling.,"Computed by infer-subc surface-area helper from labeled object geometry, then optionally scale-adjusted.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Surface area characterizes the membrane architecture of organelles, with important implications for their functional capacity and molecular interactions. This metric complements volume in capturing organelle shape and remodeling, particularly relevant for organelles undergoing stress-induced morphological changes."
