column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
dataset,Dataset identifier (experimental replicate or processing batch label).,Allows users to keep replicate-level provenance and compare conditions across experiments.,User-provided string inserted into each row when running batch quantification.,"pandas (groupby, agg, merge)","Dataset identifiers serve as critical metadata anchoring all downstream measurements to their experimental provenance. This tracking enables multi-dataset statistical integration, comparative phenotyping across experimental conditions, and identification of batch effects or experimental-specific biases."
image_name,Source image identifier (file stem).,Preserves per-image traceability and enables per-cell/per-image summaries.,Derived from input file path using the filename stem.,"pandas (groupby, agg, merge)","Individual image identifiers establish complete traceability from raw microscopy data through quantitative analysis, enabling researchers to validate measurements at single-image resolution, detect image-specific artifacts, and link morphological phenotypes to their source microscopy conditions."
mask_name,"Region used as quantification scope (for example cell mask, nucleus, or whole image).",Most outputs are interpreted relative to a biological compartment; mask_name defines that compartment.,Set from user inputs/region configuration; if no mask is supplied infer-subc uses whole-image scope.,"pandas (groupby, agg, merge)","The mask parameter defines the biological compartment serving as the quantification context—whether measurements are computed within the full cell, the nucleus, the cytoplasm, or the whole imaging field. This scope critically influences organelle distributions and abundances, making mask specification essential for proper biological interpretation of phenotypes."
scale,"Physical voxel size tuple (Z, Y, X) used for scaling geometric features.",Lets users interpret measurements in physical units and compare across imaging sessions.,Read from image metadata when available; otherwise infer-subc uses unit spacing and reports corresponding tuple.,"pandas (groupby, agg, merge)","Voxel scaling parameters convert pixel-based measurements into physically meaningful units, derived from microscope calibration. These scale factors account for differences in imaging magnification and detector sampling, enabling biologically rigorous cross-instrument and cross-protocol comparisons."
count_mito_org,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_lyso_org,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_golgi_org,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_perox_org,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_ER_org,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_LD_org,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_lyso_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_golgi_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
