column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
dataset,Dataset identifier (experimental replicate or processing batch label).,Allows users to keep replicate-level provenance and compare conditions across experiments.,User-provided string inserted into each row when running batch quantification.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Dataset identifiers serve as critical metadata anchoring all downstream measurements to their experimental provenance. This tracking enables multi-dataset statistical integration, comparative phenotyping across experimental conditions, and identification of batch effects or experimental-specific biases."
image_name,Source image identifier (file stem).,Preserves per-image traceability and enables per-cell/per-image summaries.,Derived from input file path using the filename stem.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Individual image identifiers establish complete traceability from raw microscopy data through quantitative analysis, enabling researchers to validate measurements at single-image resolution, detect image-specific artifacts, and link morphological phenotypes to their source microscopy conditions."
mask_name,"Region used as quantification scope (for example cell mask, nucleus, or whole image).",Most outputs are interpreted relative to a biological compartment; mask_name defines that compartment.,Set from user inputs/region configuration; if no mask is supplied infer-subc uses whole-image scope.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","The mask parameter defines the biological compartment serving as the quantification context—whether measurements are computed within the full cell, the nucleus, the cytoplasm, or the whole imaging field. This scope critically influences organelle distributions and abundances, making mask specification essential for proper biological interpretation of phenotypes."
scale,"Physical voxel size tuple (Z, Y, X) used for scaling geometric features.",Lets users interpret measurements in physical units and compare across imaging sessions.,Read from image metadata when available; otherwise infer-subc uses unit spacing and reports corresponding tuple.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Voxel scaling parameters convert pixel-based measurements into physically meaningful units, derived from microscope calibration. These scale factors account for differences in imaging magnification and detector sampling, enabling biologically rigorous cross-instrument and cross-protocol comparisons."
object,"Biological object class represented by the row (organelle, region, or interaction type).",Object-specific quantification is the core of organelle signature analysis.,Assigned from segmentation labels and interaction naming rules (for example mitoXlyso for overlaps).,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Object classification categorizes the biological entity under study—whether individual organelle instances (mitochondria, lysosomes), defined cellular compartments (nucleus, cytoplasm), or emergent interaction sites where multiple organelle classes colocalize. This taxonomic organization structures the entire analytical framework."
XY_bins_hist_mean,Histogram mean derived from radial bin occupancy profile for object.,"Converts per-bin voxel counts into a single descriptor of radial localization pattern. For example, hist_mean indicates the weighted average radial distance of object localization.","Source metric: `XY_obj_vox_cnt_perbin` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_bin = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_tobin = obj_perc_per_bin / mask_fraction_per_bin; (3) Create weighted sample by repeating each bin index according to normalized occupancy*100; (4) Compute mean of this weighted sample (e.g., mean, median, std, etc.).","numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MEAN of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_bins_hist_median,Histogram median derived from radial bin occupancy profile for object.,"Converts per-bin voxel counts into a single descriptor of radial localization pattern. For example, hist_mean indicates the weighted average radial distance of object localization.","Source metric: `XY_obj_vox_cnt_perbin` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_bin = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_tobin = obj_perc_per_bin / mask_fraction_per_bin; (3) Create weighted sample by repeating each bin index according to normalized occupancy*100; (4) Compute median of this weighted sample (e.g., mean, median, std, etc.).","numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MEDIAN of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_bins_hist_mode,Histogram mode derived from radial bin occupancy profile for object.,"Converts per-bin voxel counts into a single descriptor of radial localization pattern. For example, hist_mean indicates the weighted average radial distance of object localization.","Source metric: `XY_obj_vox_cnt_perbin` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_bin = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_tobin = obj_perc_per_bin / mask_fraction_per_bin; (3) Create weighted sample by repeating each bin index according to normalized occupancy*100; (4) Compute mode of this weighted sample (e.g., mean, median, std, etc.).","numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MODE of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_bins_hist_min,Histogram min derived from radial bin occupancy profile for object.,"Converts per-bin voxel counts into a single descriptor of radial localization pattern. For example, hist_mean indicates the weighted average radial distance of object localization.","Source metric: `XY_obj_vox_cnt_perbin` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_bin = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_tobin = obj_perc_per_bin / mask_fraction_per_bin; (3) Create weighted sample by repeating each bin index according to normalized occupancy*100; (4) Compute min of this weighted sample (e.g., mean, median, std, etc.).","numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MIN of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_bins_hist_max,Histogram max derived from radial bin occupancy profile for object.,"Converts per-bin voxel counts into a single descriptor of radial localization pattern. For example, hist_mean indicates the weighted average radial distance of object localization.","Source metric: `XY_obj_vox_cnt_perbin` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_bin = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_tobin = obj_perc_per_bin / mask_fraction_per_bin; (3) Create weighted sample by repeating each bin index according to normalized occupancy*100; (4) Compute max of this weighted sample (e.g., mean, median, std, etc.).","numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MAX of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
