column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
dataset,Dataset identifier (experimental replicate or processing batch label).,Allows users to keep replicate-level provenance and compare conditions across experiments.,User-provided string inserted into each row when running batch quantification.,"pandas (groupby, agg, merge)","Dataset identifiers serve as critical metadata anchoring all downstream measurements to their experimental provenance. This tracking enables multi-dataset statistical integration, comparative phenotyping across experimental conditions, and identification of batch effects or experimental-specific biases."
image_name,Source image identifier (file stem).,Preserves per-image traceability and enables per-cell/per-image summaries.,Derived from input file path using the filename stem.,"pandas (groupby, agg, merge)","Individual image identifiers establish complete traceability from raw microscopy data through quantitative analysis, enabling researchers to validate measurements at single-image resolution, detect image-specific artifacts, and link morphological phenotypes to their source microscopy conditions."
mask_name,"Region used as quantification scope (for example cell mask, nucleus, or whole image).",Most outputs are interpreted relative to a biological compartment; mask_name defines that compartment.,Set from user inputs/region configuration; if no mask is supplied infer-subc uses whole-image scope.,"pandas (groupby, agg, merge)","The mask parameter defines the biological compartment serving as the quantification context—whether measurements are computed within the full cell, the nucleus, the cytoplasm, or the whole imaging field. This scope critically influences organelle distributions and abundances, making mask specification essential for proper biological interpretation of phenotypes."
scale,"Physical voxel size tuple (Z, Y, X) used for scaling geometric features.",Lets users interpret measurements in physical units and compare across imaging sessions.,Read from image metadata when available; otherwise infer-subc uses unit spacing and reports corresponding tuple.,"pandas (groupby, agg, merge)","Voxel scaling parameters convert pixel-based measurements into physically meaningful units, derived from microscope calibration. These scale factors account for differences in imaging magnification and detector sampling, enabling biologically rigorous cross-instrument and cross-protocol comparisons."
object,"Biological object class represented by the row (organelle, region, or interaction type).",Object-specific quantification is the core of organelle signature analysis.,Assigned from segmentation labels and interaction naming rules (for example mitoXlyso for overlaps).,"pandas (groupby, agg, merge)","Object classification categorizes the biological entity under study—whether individual organelle instances (mitochondria, lysosomes), defined cellular compartments (nucleus, cytoplasm), or emergent interaction sites where multiple organelle classes colocalize. This taxonomic organization structures the entire analytical framework."
"num_interaction_types,mean",MEAN of `num_interaction_types` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `num_interaction_types` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEAN of num_interaction_types values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"num_interaction_types,median",MEDIAN of `num_interaction_types` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `num_interaction_types` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEDIAN of num_interaction_types values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"num_interaction_types,std",STD of `num_interaction_types` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `num_interaction_types` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The STD of num_interaction_types values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"mitoXlyso_count,sum",SUM of `mitoXlyso_count` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(sum) on `mitoXlyso_count` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The SUM of mitoXlyso_count values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"mitoXgolgi_count,sum",SUM of `mitoXgolgi_count` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(sum) on `mitoXgolgi_count` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The SUM of mitoXgolgi_count values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
