column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
dataset,Dataset identifier (experimental replicate or processing batch label).,Allows users to keep replicate-level provenance and compare conditions across experiments.,User-provided string inserted into each row when running batch quantification.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Dataset identifiers serve as critical metadata anchoring all downstream measurements to their experimental provenance. This tracking enables multi-dataset statistical integration, comparative phenotyping across experimental conditions, and identification of batch effects or experimental-specific biases."
image_name,Source image identifier (file stem).,Preserves per-image traceability and enables per-cell/per-image summaries.,Derived from input file path using the filename stem.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Individual image identifiers establish complete traceability from raw microscopy data through quantitative analysis, enabling researchers to validate measurements at single-image resolution, detect image-specific artifacts, and link morphological phenotypes to their source microscopy conditions."
mask_name,"Region used as quantification scope (for example cell mask, nucleus, or whole image).",Most outputs are interpreted relative to a biological compartment; mask_name defines that compartment.,Set from user inputs/region configuration; if no mask is supplied infer-subc uses whole-image scope.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"The mask parameter defines the biological compartment serving as the quantification context—whether measurements are computed within the full cell, the nucleus, the cytoplasm, or the whole imaging field. This scope critically influences organelle distributions and abundances, making mask specification essential for proper biological interpretation of phenotypes."
scale,"Physical voxel size tuple (Z, Y, X) used for scaling geometric features.",Lets users interpret measurements in physical units and compare across imaging sessions.,Read from image metadata when available; otherwise infer-subc uses unit spacing and reports corresponding tuple.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Voxel scaling parameters convert pixel-based measurements into physically meaningful units, derived from microscope calibration. These scale factors account for differences in imaging magnification and detector sampling, enabling biologically rigorous cross-instrument and cross-protocol comparisons."
object,"Biological object class represented by the row (organelle, region, or interaction type).",Object-specific quantification is the core of organelle signature analysis.,Assigned from segmentation labels and interaction naming rules (for example mitoXlyso for overlaps).,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Object classification categorizes the biological entity under study—whether individual organelle instances (mitochondria, lysosomes), defined cellular compartments (nucleus, cytoplasm), or emergent interaction sites where multiple organelle classes colocalize. This taxonomic organization structures the entire analytical framework."
XY_n_bins,Number of radial bins used to summarize XY spatial localization.,Defines radial resolution for center-to-periphery localization signatures.,Set from user parameter `num_bins` and passed to infer-subc concentric-bin construction.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,number of radial bins used to summarize XY spatial localization. defines radial resolution for center-to-periphery localization signatures
XY_bins,Ordered labels of XY radial bins.,Allows interpretation of per-bin occupancy vectors in biological radial order.,Generated from concentric-ring mask produced from normalized radial distance map.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,ordered labels of XY radial bins. allows interpretation of per-bin occupancy vectors in biological radial order
XY_cell_vox_cnt_perbin,Voxel count profile per radial bin in XY projection.,Core readout for radial localization of organelles/interactions within the mask.,"For each bin, infer-subc sums projected voxel counts using sparse bin indexing (`scipy.sparse.coo_matrix`).",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per radial bin in XY projection. core readout for radial localization of organelles/interactions within the mask
XY_nuc_vox_cnt_perbin,Voxel count profile per radial bin in XY projection.,Core readout for radial localization of organelles/interactions within the mask.,"For each bin, infer-subc sums projected voxel counts using sparse bin indexing (`scipy.sparse.coo_matrix`).",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per radial bin in XY projection. core readout for radial localization of organelles/interactions within the mask
XY_cytoplasm_vox_cnt_perbin,Voxel count profile per radial bin in XY projection.,Core readout for radial localization of organelles/interactions within the mask.,"For each bin, infer-subc sums projected voxel counts using sparse bin indexing (`scipy.sparse.coo_matrix`).",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per radial bin in XY projection. core readout for radial localization of organelles/interactions within the mask
